"","ERR1797969","ERR1797970","ERR1797971","ERR1797972","ERR1797973","ERR1797974"
"IBPFAHIO_00834",927.2692190872,975.329337339771,790.126585028914,26850.7740377715,26044.5761019311,25552.7175331981
"IBPFAHIO_00835",1424.96913618133,1474.81617979559,1311.54615328686,51844.6657679246,53786.5084993344,50974.826790912
"IBPFAHIO_00836",421.486008676,388.161372638252,310.29262650933,17180.7304456367,14440.6827960061,14502.46586192
"IBPFAHIO_00837",577.378094076713,511.309016241759,462.773195549998,21727.8989312219,18555.7058618864,17803.2931877961
"IBPFAHIO_00838",993.090321811946,1036.41056856711,882.894483676033,40401.8113112328,35077.4871837147,35461.136250621
"IBPFAHIO_00839",782.924695568022,805.878179741346,681.364221097808,34632.8654411566,35548.3198493214,33097.3243556816
"IBPFAHIO_00840",608.556511156855,673.863905798387,626.983039132255,34673.0735226207,31612.0136141241,29538.2488487343
"IBPFAHIO_00841",467.676256202137,465.990683395668,364.673808474883,21063.5517670297,22737.8611382772,24212.0037962191
"IBPFAHIO_00842",1490.79023890607,1638.35625050105,1490.68416446751,37381.6361012531,32535.535104659,32945.9374909157
"IBPFAHIO_00843",819.876893588932,938.877634833133,794.39177577131,19237.7393405427,18577.4784707006,18586.9428407019
"IBPFAHIO_00844",526.568821797962,532.983001515976,539.546628913131,409.391374907996,405.514839164136,435.360918281014
"IBPFAHIO_00845",6741.4666264397,6933.70492545182,6848.83003460285,5475.60963939444,5161.92267302894,5751.71140447167
"IBPFAHIO_00846",4885.77343207714,5135.74932884063,5131.02446310274,2881.27456492168,3165.19300636168,2896.1395632012
"IBPFAHIO_00847",3739.10053724079,3477.68945536302,3473.99785968178,2797.20312186021,2668.0517717712,2714.07954282914
"IBPFAHIO_00848",3179.04378598638,2928.9435554658,2947.24680299584,2332.06872492233,2455.76883583292,2360.84352504204
"IBPFAHIO_00849",207.856113867617,177.332606789049,231.386597774999,149.866485457391,156.03702983497,179.09165047469
