Gene	ERR1797969	ERR1797970	ERR1797971	ERR1797972	ERR1797973	ERR1797974
IBPFAHIO_00235	0	0	0	1	0	0
IBPFAHIO_00236	1436	1720	1342	1335	1221	1074
IBPFAHIO_00237	2053	2228	2080	1087	930	821
IBPFAHIO_00238	2578	2848	2726	3759	3772	3278
IBPFAHIO_00239	1268	1473	1323	1864	2069	1653
IBPFAHIO_00240	1049	1280	1091	1863	1673	1484
IBPFAHIO_00241	5139	6026	5298	13590	14115	12990
IBPFAHIO_00242	2948	3659	3140	2399	2705	2415
IBPFAHIO_00243	10199	12429	11315	6678	7008	5849
IBPFAHIO_00244	4719	5632	4842	5449	5536	4901
IBPFAHIO_00245	2744	2841	2609	1985	1837	1684
IBPFAHIO_00246	767	794	694	574	491	445
IBPFAHIO_00247	10905	11788	9991	2175	2158	2071
IBPFAHIO_00248	2140	2504	2211	1024	1010	958
IBPFAHIO_00249	5940	7089	6384	3539	3955	3625
IBPFAHIO_00250	275	375	351	244	248	262
IBPFAHIO_00251	6677	7512	7133	3759	3678	3282
IBPFAHIO_00252	5475	6220	5813	2635	2858	2311
IBPFAHIO_00253	0	0	0	0	0	1
IBPFAHIO_00254	124	113	114	133	138	120
IBPFAHIO_00255	225	239	197	268	274	257
IBPFAHIO_00256	9	10	11	14	8	13
IBPFAHIO_00257	273	324	284	330	325	294
IBPFAHIO_00258	1071	1211	1169	898	949	832
IBPFAHIO_00259	579	674	715	2378	2464	2035
IBPFAHIO_00260	182	217	185	527	494	457
IBPFAHIO_00261	340	450	399	1070	1136	1003
IBPFAHIO_00262	2011	2125	2141	3473	3402	3139
IBPFAHIO_00263	702	914	832	633	697	636
IBPFAHIO_00264	1540	1500	1474	1012	927	843
IBPFAHIO_00265	2152	2534	2138	1547	1515	1427
IBPFAHIO_00266	4226	4862	4408	7717	7698	6836
IBPFAHIO_00267	21	29	25	84	78	93
IBPFAHIO_00268	3	6	1	1	2	1
IBPFAHIO_00269	4	5	2	4	11	7
IBPFAHIO_00270	1794	2024	1942	511	601	477
IBPFAHIO_00271	277	299	266	182	224	188
IBPFAHIO_00272	8291	9546	8792	449	377	375
IBPFAHIO_00273	9	6	10	30	14	21
IBPFAHIO_00274	32	30	32	51	27	40
IBPFAHIO_00275	3	7	4	5	6	5
IBPFAHIO_00276	9	7	0	10	14	9
IBPFAHIO_00277	24	26	25	37	33	29
IBPFAHIO_00278	0	0	1	0	0	0
IBPFAHIO_00279	27	21	24	26	20	18
IBPFAHIO_00280	38	44	34	45	65	51
IBPFAHIO_00281	202	276	253	1414	1612	1501
IBPFAHIO_00282	2370	2600	2525	699	479	383
IBPFAHIO_00283	154	196	166	60	54	46
IBPFAHIO_00284	148	160	160	54	57	61
IBPFAHIO_00285	612	717	667	283	323	302
IBPFAHIO_00286	8	10	8	9	8	10
IBPFAHIO_00287	33	37	33	223	273	246
IBPFAHIO_00288	51	41	50	53	53	68
IBPFAHIO_00289	111	120	123	93	89	80
IBPFAHIO_00290	401	400	431	312	264	254
IBPFAHIO_00291	151	179	180	351	344	339
IBPFAHIO_00292	17	20	17	12	6	3
IBPFAHIO_00293	9	13	16	2	3	1
IBPFAHIO_00294	3	5	1	0	0	0
IBPFAHIO_00295	2	1	0	3	1	4
IBPFAHIO_00296	1	3	0	2	2	0
IBPFAHIO_00297	2	2	2	2	4	3
IBPFAHIO_00298	2	3	1	2	3	4
IBPFAHIO_00299	1	1	1	1	4	0
IBPFAHIO_00300	1	0	0	4	0	1
IBPFAHIO_00301	1	5	2	6	2	3
IBPFAHIO_00302	16	15	12	21	19	14
IBPFAHIO_00303	7	7	12	15	17	19
IBPFAHIO_00304	269	360	300	237	266	305
IBPFAHIO_00305	8065	11810	10092	15222	18788	17966
IBPFAHIO_00306	10	29	22	22	18	24
IBPFAHIO_00307	263	308	291	164	184	166
IBPFAHIO_00308	301	361	367	297	275	269
IBPFAHIO_00309	211	254	220	156	184	192
IBPFAHIO_00310	276	250	251	195	154	170
IBPFAHIO_00312	2196	2268	2182	70	86	82
IBPFAHIO_00313	1585	1690	1664	100	96	77
IBPFAHIO_00314	6623	7067	6898	50	51	44
IBPFAHIO_00315	4286	4461	4385	42	39	32
IBPFAHIO_00316	417	468	389	9	4	6
IBPFAHIO_00317	6661	6560	6158	62	55	56
IBPFAHIO_00318	19110	17359	17515	162	139	94
IBPFAHIO_00319	4607	4418	4300	510	417	436
IBPFAHIO_00320	508	564	539	47	32	31
IBPFAHIO_00321	17	12	14	0	2	1
IBPFAHIO_00322	18855	18427	17147	1124	1037	919
IBPFAHIO_00323	2591	2748	2698	236	266	252
IBPFAHIO_00324	20	22	23	141	198	160
IBPFAHIO_00325	13	31	26	59	67	61
IBPFAHIO_00326	86	80	74	147	130	126
IBPFAHIO_00327	33	49	26	35	24	33
IBPFAHIO_00328	12732	12356	12030	1730	1560	1447
IBPFAHIO_00329	4883	4572	4665	647	522	390
IBPFAHIO_00330	9966	11307	10036	1236	1475	1297
IBPFAHIO_00331	1169	1155	1140	154	140	164
IBPFAHIO_00332	0	0	0	0	1	0
IBPFAHIO_00333	95	111	93	75	51	73
IBPFAHIO_00334	159	206	173	99	104	114
IBPFAHIO_00335	12	28	25	64	76	65
IBPFAHIO_00336	27	27	17	48	54	43
IBPFAHIO_00337	526	598	565	5557	5510	4640
IBPFAHIO_00338	92	101	89	369	387	314
IBPFAHIO_00339	128	121	106	689	577	470
IBPFAHIO_00340	985	1069	1041	3764	4026	3414
IBPFAHIO_00341	47	67	58	231	270	301
IBPFAHIO_00342	695	841	780	1015	928	858
IBPFAHIO_00343	206	229	229	195	202	189
IBPFAHIO_00344	84210	95965	85387	65314	63755	57395
IBPFAHIO_00345	465	581	555	522	552	508
IBPFAHIO_00346	128	170	154	193	220	207
IBPFAHIO_00347	786	944	858	569	614	577
IBPFAHIO_00348	120	107	122	314	314	279
IBPFAHIO_00349	666	778	671	18696	21153	17457
IBPFAHIO_00350	134	192	187	5772	6535	5590
IBPFAHIO_00351	118	140	171	184	232	184
IBPFAHIO_00352	72	59	67	256	321	268
IBPFAHIO_00353	27	35	33	111	129	100
IBPFAHIO_00354	95	97	69	392	398	347
IBPFAHIO_00355	73	92	72	124	147	153
IBPFAHIO_00356	64	87	88	161	165	134
IBPFAHIO_00357	151	171	142	960	867	797
IBPFAHIO_00358	641	750	675	1111	1159	996
IBPFAHIO_00359	250	261	229	104	133	94
IBPFAHIO_00360	85	93	75	69	78	59
IBPFAHIO_00361	500	693	603	186	200	190
IBPFAHIO_00362	63	71	91	24	17	18
IBPFAHIO_00363	879	922	1193	87	70	61
IBPFAHIO_00364	91	109	120	83	71	74
IBPFAHIO_00365	20	13	19	22	31	31
IBPFAHIO_00366	8	14	11	39	41	36
IBPFAHIO_00367	1142	1319	1282	7033	7727	7008
IBPFAHIO_00368	2185	2399	2216	2897	2779	2610
IBPFAHIO_00369	5206	6109	5683	6473	6396	5478
IBPFAHIO_00370	4053	4349	3451	2202	2008	1909
IBPFAHIO_00371	1634	1959	1456	756	738	642
IBPFAHIO_00372	933	1161	978	433	332	270
IBPFAHIO_00373	125	170	141	278	321	293
IBPFAHIO_00374	784	865	813	977	932	868
IBPFAHIO_00375	678	738	692	795	819	780
IBPFAHIO_00376	43	55	43	905	939	853
IBPFAHIO_00377	340	414	357	3495	3695	3474
IBPFAHIO_00378	471	614	529	5620	5729	5405
IBPFAHIO_00379	224	301	245	1964	1907	2073
IBPFAHIO_00380	1802	2040	1968	1999	2149	1941
IBPFAHIO_00381	3527	3860	3378	3114	3288	3180
IBPFAHIO_00382	168	198	208	602	703	601
IBPFAHIO_00383	230	279	295	942	972	794
IBPFAHIO_00384	360	408	339	1086	1032	1008
IBPFAHIO_00385	399	470	441	2983	3774	3254
IBPFAHIO_00386	37	43	45	435	376	408
IBPFAHIO_00387	960	1167	1022	6839	6717	6642
IBPFAHIO_00388	549	629	516	4263	4421	3919
IBPFAHIO_00389	918	1019	973	1704	1937	1447
IBPFAHIO_00390	4637	5189	4705	4933	5211	4745
IBPFAHIO_00391	4326	4845	4480	2207	2254	1966
IBPFAHIO_00392	2793	3484	3006	808	761	699
IBPFAHIO_00393	3828	4471	4275	1385	1320	1166
IBPFAHIO_00394	2945	3945	3437	1837	2149	1773
IBPFAHIO_00395	3966	4507	4174	1551	1424	1348
IBPFAHIO_00396	1182	1447	1303	355	356	310
IBPFAHIO_00397	20808	21408	20367	510	515	427
IBPFAHIO_00398	539	568	529	334	351	312
IBPFAHIO_00399	325	442	434	267	277	269
IBPFAHIO_00400	21	21	20	227	261	189
IBPFAHIO_00401	1	0	1	15	16	24
IBPFAHIO_00402	5	4	2	43	46	26
IBPFAHIO_00403	288	308	285	232	251	217
IBPFAHIO_00404	12	14	15	71	63	75
IBPFAHIO_00405	2	4	1	10	6	14
IBPFAHIO_00406	2	7	5	11	13	8
IBPFAHIO_00407	67	65	71	168	145	139
IBPFAHIO_00408	25	27	16	40	37	40
IBPFAHIO_00409	24	15	14	21	21	32
IBPFAHIO_00410	51	69	56	97	132	120
IBPFAHIO_00411	152	212	184	303	293	246
IBPFAHIO_00412	90	110	104	483	582	575
IBPFAHIO_00413	761	1010	774	3375	3320	3050
IBPFAHIO_00414	1309	1456	1398	4307	3974	3908
IBPFAHIO_00415	3936	3900	4555	181	184	147
IBPFAHIO_00416	93	114	153	21	24	12
IBPFAHIO_00417	124	102	134	56	61	50
IBPFAHIO_00418	76	79	67	160	149	134
IBPFAHIO_00419	9	15	18	34	37	36
IBPFAHIO_00420	2	4	1	4	5	8
IBPFAHIO_00421	0	0	0	1	0	0
IBPFAHIO_00422	5680	7340	6405	4479	4460	4159
IBPFAHIO_00423	98	138	129	45	50	46
IBPFAHIO_00424	481	615	534	289	300	299
IBPFAHIO_00425	183	240	180	982	730	673
IBPFAHIO_00426	1586	1792	1633	6831	6001	5646
IBPFAHIO_00427	2527	2496	2500	2067	1779	1595
IBPFAHIO_00428	2648	3469	3044	4756	4645	3851
IBPFAHIO_00429	412	550	531	883	834	721
IBPFAHIO_00430	3755	4280	4163	837	989	873
IBPFAHIO_00431	2374	2748	2706	529	500	458
IBPFAHIO_00432	7203	8496	8068	1090	1114	1045
IBPFAHIO_00433	554	707	598	559	625	554
IBPFAHIO_00434	4	3	3	1	2	2
IBPFAHIO_00435	8742	9817	9473	7012	6670	5977
IBPFAHIO_00436	3834	3853	3580	4079	4061	3694
IBPFAHIO_00437	2218	2238	2161	2365	2354	2076
IBPFAHIO_00438	1351	1578	1405	1398	1580	1219
IBPFAHIO_00439	1822	2050	2538	1070	994	883
IBPFAHIO_00440	1322	1634	1980	989	975	892
IBPFAHIO_00441	983	1165	1342	571	529	484
IBPFAHIO_00442	533	482	692	299	245	206
IBPFAHIO_00443	995	1011	1251	342	396	360
IBPFAHIO_00444	7304	8145	10582	3350	3276	3015
IBPFAHIO_00445	2316	2785	3779	1002	1044	908
IBPFAHIO_00446	1644	1829	2535	730	769	681
IBPFAHIO_00447	1248	1452	1994	600	639	600
IBPFAHIO_00448	1302	1574	2115	835	810	757
IBPFAHIO_00449	1181	1338	1812	507	555	471
IBPFAHIO_00450	4416	4820	4459	3915	4464	3873
IBPFAHIO_00451	1600	1837	1710	1328	1242	1085
IBPFAHIO_00452	819	927	813	548	684	645
IBPFAHIO_00453	1857	2007	2055	1698	1503	1241
IBPFAHIO_00454	19702	24332	20608	2108	1889	1792
IBPFAHIO_00455	3312	3718	3286	1706	1723	1616
IBPFAHIO_00456	1325	1581	1460	1711	1652	1399
IBPFAHIO_00457	386	395	379	533	482	412
IBPFAHIO_00458	1442	1758	1608	1785	1794	1568
IBPFAHIO_00459	1647	2032	1905	1591	1693	1476
IBPFAHIO_00460	4473	5365	4865	24330	24615	22543
IBPFAHIO_00461	257	267	255	194	196	189
IBPFAHIO_00462	5704	6551	6021	12668	12363	11105
IBPFAHIO_00463	1805	2186	2026	2150	2304	2076
IBPFAHIO_00464	57	87	78	33	45	39
IBPFAHIO_00465	49	43	43	105	119	69
IBPFAHIO_00466	31	28	30	34	35	35
IBPFAHIO_00467	41	57	47	57	77	70
IBPFAHIO_00468	24	23	19	15	25	13
IBPFAHIO_00469	767	845	785	1115	1029	925
IBPFAHIO_00470	7226	8070	7225	7561	7672	6888
IBPFAHIO_00471	4784	5506	4973	8486	8356	7542
IBPFAHIO_00472	4051	4983	4661	5576	7013	6418
IBPFAHIO_00473	382	441	470	864	903	731
IBPFAHIO_00474	246	339	301	988	947	958
IBPFAHIO_00475	4846	5835	5233	12394	11683	10209
IBPFAHIO_00476	0	0	0	0	0	0
IBPFAHIO_00477	21	26	22	100	123	105
IBPFAHIO_00478	2091	2303	2179	1984	1720	1512
IBPFAHIO_00479	1010	1180	1012	1556	1674	1462
IBPFAHIO_00480	341	421	354	301	308	270
IBPFAHIO_00481	172	200	146	118	142	121
