"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IBPFAHIO_02855",344.950215692492,0.452852740892528,0.116268948833184,3.89487258152006,9.82503635657417e-05,0.000153506573257806
"IBPFAHIO_02856",487.610711626234,-0.774806632514439,0.0992839275352162,-7.80394824972666,5.99998041709406e-15,1.30559573875967e-14
"IBPFAHIO_02857",52.0350686367103,-1.06844988027489,0.265387531009395,-4.02599879584046,5.67339789748369e-05,9.00042762951814e-05
"IBPFAHIO_02858",792.945514257913,-0.362647146868793,0.0851872586335908,-4.25705854004081,2.0713413231459e-05,3.37001263667892e-05
"IBPFAHIO_02859",1506.10522147732,0.98389107217773,0.0758472029786244,12.9720152298169,1.76332520108706e-38,5.69748272316683e-38
"IBPFAHIO_02860",0.328393716276017,1.95580407602867,3.24379563816191,0.60293689683143,0.54655066924678,0.595483796129845
"IBPFAHIO_02861",122.033488483712,-0.365209606769141,0.17812481006587,-2.05030173300445,0.0403349955916924,0.052676694373786
"IBPFAHIO_02862",0,NA,NA,NA,NA,NA
"IBPFAHIO_02863",335.951460347542,-0.835797696508519,0.118785484612706,-7.03619385174538,1.9756203633449e-12,4.02934977990997e-12
"IBPFAHIO_02864",182.880069727043,-1.86706784979163,0.161886048878575,-11.533222675612,8.97210638576826e-31,2.56150212845598e-30
"IBPFAHIO_02865",408.937396754052,-0.873246662562804,0.102364188377695,-8.53078284898596,1.45360664450423e-17,3.35844871070013e-17
"IBPFAHIO_02866",104.694785974528,-0.365300693315001,0.187618751995118,-1.94703722005627,0.0515302725876301,0.0666285979179729
"IBPFAHIO_02867",1.19485123244468,-0.196143520034718,1.6839888578424,-0.116475545025889,0.907275666408012,0.92489567083229
"IBPFAHIO_02868",10.0067635133234,-0.00779970813669911,0.570000246153077,-0.0136836925761686,0.989082333670004,0.99040640640584
"IBPFAHIO_02869",40.7396102640477,-0.00059666341327931,0.28441508056242,-0.00209786137957042,0.998326150022311,0.99857946364168
"IBPFAHIO_02870",142.683606379403,0.546244685977741,0.160862419560812,3.3957259095636,0.000684468637317247,0.00101583837443115
"IBPFAHIO_02871",244.463159953633,0.726706139590778,0.134000078426743,5.42317697215426,5.85489737671769e-08,1.04397216633727e-07
"IBPFAHIO_02872",1546.47560083133,-2.57954653370248,0.0800780622288186,-32.2128990375862,1.16446785365336e-227,1.48259056090675e-226
"IBPFAHIO_02873",4453.31016921615,-2.83177619480201,0.0629757499150213,-44.9661369435563,0,0
"IBPFAHIO_02874",2355.33747731427,-4.43237050125766,0.0929519123042726,-47.6845542106606,0,0
"IBPFAHIO_02875",178.227921443985,-0.0678981487922632,0.157871943937433,-0.430083693776345,0.667134761157031,0.711356808760455
"IBPFAHIO_02876",505.365116247293,-2.3649318684875,0.109797945011834,-21.5389447246268,6.72207307197363e-103,4.24313135682386e-102
"IBPFAHIO_02877",0.714938349197117,1.72090639093747,2.20593613093199,0.780125211608189,0.435317177958383,0.486722345460195
"IBPFAHIO_02878",188.516785477927,3.18370323769856,0.186556332295443,17.0656401662992,2.6744153637779e-65,1.20691565134593e-64
"IBPFAHIO_02879",229.247146499052,0.422973317607857,0.133669824026183,3.16431416506545,0.00155448898210815,0.00225997620722429
"IBPFAHIO_02880",152.334059857873,-0.567026062109806,0.159732403070215,-3.54984994410028,0.000385450790904617,0.000580407028881034
"IBPFAHIO_02881",10.0198068615597,0.920948177295558,0.580906995938979,1.58536251712193,0.112883992330617,0.13985461906965
"IBPFAHIO_02882",8.41185717069977,0.0847675518067537,0.614818910901262,0.137874015102257,0.890339987195366,0.910734099722576
"IBPFAHIO_02883",4988.47910286012,1.1892708386245,0.0604514300759685,19.6731630191372,3.66208389740106e-86,2.01414614357058e-85
"IBPFAHIO_02884",342.482410747126,-0.461037790445029,0.122619933951463,-3.75989266661589,0.000169986272803077,0.000262029329328597
"IBPFAHIO_02885",644.478455278476,-0.575153648231759,0.0942144147917909,-6.10473088967139,1.02974033001696e-09,1.92321040412655e-09
"IBPFAHIO_02886",194.834577809604,-1.10230712466038,0.139534107200068,-7.89991169026409,2.79101099367263e-15,6.11325394807359e-15
"IBPFAHIO_02887",33.3832153013681,-0.552276889438143,0.31268485022379,-1.7662412778965,0.0773553786246145,0.0979878462509934
"IBPFAHIO_02888",534.932678727023,-1.06261000990314,0.111062667385979,-9.56766152761508,1.09350973715228e-21,2.73331757189608e-21
"IBPFAHIO_02889",122.646891733875,-0.416371428349966,0.166849257044292,-2.4954946502365,0.0125781651919507,0.0172158601346371
"IBPFAHIO_02890",1118.07434493771,0.499444126309754,0.0738801803524161,6.76019094603389,1.37809995224091e-11,2.73971764591681e-11
"IBPFAHIO_02891",3.87073539390479,0.83997212461212,0.915236608213382,0.91776499877099,0.35874191025762,0.409365291949198
"IBPFAHIO_02892",119.880924611395,-1.90018647832135,0.203168283497923,-9.35277123774478,8.53807639115166e-21,2.09736654863102e-20
"IBPFAHIO_02893",33.8150753300342,-1.55260221376711,0.340306039953927,-4.56237042979699,5.05793075613496e-06,8.41675685336808e-06
"IBPFAHIO_02894",20.4155603703915,0.562534495213939,0.391086865921547,1.43838759168861,0.150324111325786,0.183205597184013
"IBPFAHIO_02895",17.4160038654385,0.83888411370282,0.429617907786487,1.95262836697145,0.0508636473313955,0.0658235436053353
"IBPFAHIO_02896",12.6781789116006,1.43295951219291,0.524423914420459,2.73244501783729,0.0062866163331721,0.00882249346568992
"IBPFAHIO_02897",19.9806947050477,1.47732669522038,0.418536990021059,3.52973985679509,0.000415968458512074,0.000624161297827545
"IBPFAHIO_02898",3.24128774627507,0.0543740578995689,1.02301554123203,0.0531507642924814,0.957611784526385,0.963407686382967
"IBPFAHIO_02899",1.74242266435244,2.21127337969855,1.50678635715118,1.46754274035193,0.142228471413653,0.173905838361116
"IBPFAHIO_02900",3.51291770271367,1.17805873494492,0.982560124678352,1.19896859780522,0.230540156209177,0.272315889213524
"IBPFAHIO_02901",5.53245392067772,0.641620368453178,0.768095525152472,0.835339287161988,0.403526703056103,0.453721118205133
"IBPFAHIO_02902",40.22103842721,1.69320934578125,0.308648008309118,5.48589104804935,4.11390407153957e-08,7.35732276272946e-08
"IBPFAHIO_02903",533.867534361573,1.35744450840474,0.109799105107539,12.3629833510504,4.14483303403578e-35,1.27454680758839e-34
"IBPFAHIO_02904",120.809706782956,0.675878603225373,0.168153403484922,4.01941673030707,5.83423969400628e-05,9.25068636166761e-05
"IBPFAHIO_02905",1021.04184840744,0.959652412182755,0.0776779614002616,12.3542430167268,4.62085231654234e-35,1.41946510586188e-34
"IBPFAHIO_02906",600.398038393495,1.13319638916359,0.0926980426764504,12.224598885209,2.29712751636272e-34,6.97059384275583e-34
"IBPFAHIO_02907",34.1704284184179,1.436011542775,0.325966079254759,4.40540177081641,1.05587991731544e-05,1.73677444343474e-05
"IBPFAHIO_02908",168.624201275917,1.30134009677203,0.156837874930584,8.29735864087679,1.06451648133081e-16,2.41473336781029e-16
"IBPFAHIO_02909",171.093936867936,1.46831775516843,0.152895535378648,9.60340504078242,7.7346102163162e-22,1.93981171560923e-21
"IBPFAHIO_02910",261.146084285213,1.50818720720156,0.128446120745422,11.7417886850064,7.7822890418723e-32,2.2584489634609e-31
"IBPFAHIO_02911",14.8797314385521,2.02069765163428,0.51262900473706,3.94183246160787,8.08614531085147e-05,0.000127134770205295
